연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,08,23394,강남한양수자인아파트강남한양수자인아파트강남한양수자인아파트,270,2997,1597,1870,3343,1483,381.3406923,112.43395083000001
2020,08,23395,대치아파트대치아파트대치아파트대치아파트대치아파트대치아파트대치아파트대치아파트대치아파트,2340,16863,7005,6877,7521,1912,1143.6505812,337.43108241
2020,08,23397,대청역대청역,109,1576,1215,1601,3208,1807,254.157695,74.98664382
2020,08,23398,마루공원,35,1022,580,640,1158,668,127.0833167,37.49478905
2020,08,23399,대청초등학교,71,2083,1088,1295,2396,1429,127.0865884,37.49387569
2020,08,23400,일원1동주민센터일원1동주민센터,395,8928,4404,6462,10110,4720,254.1750668,74.9839579
2020,08,23401,수서역현대벤쳐빌,195,2537,998,1068,1393,416,127.1022591,37.48754689
2020,08,23402,수서역수서역수서역수서역,472,7246,3721,4862,7346,2753,508.4021708,149.95260508
2020,08,23403,수서역KT수서지점수서역KT수서지점수서역KT수서지점,708,5209,1441,1802,2867,1186,381.3000738,112.46523762
2020,08,23404,수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점수서역KT수서지점,4123,26836,13392,14123,24505,8995,1398.1083446,412.35857949
2020,08,23405,세곡문화복지관세곡문화복지관세곡문화복지관세곡문화복지관,39,814,504,534,761,167,508.4321344,149.87650436
2020,08,23406,궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을,476,4348,2253,2222,3300,1332,1398.0694244,412.33909661999996
2020,08,23407,궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을궁마을,613,3738,3054,2948,4864,2197,1398.0734108,412.33832233
2020,08,23408,수서역수서역수서역수서역수서역수서역수서역수서역수서역수서역수서역,2772,50382,25282,33184,75022,31668,1398.1201245,412.35515749999996
2020,08,23409,수서역5번.출구수서역5번.출구수서역5번.출구,945,17163,5409,5185,8209,2812,381.3059628,112.46098692000001
2020,08,23410,수서역.로즈데일빌딩수서역.로즈데일빌딩수서역.로즈데일빌딩수서역.로즈데일빌딩수서역.로즈데일빌딩수서역.로즈데일빌딩수서역.로즈데일빌딩수서역.로즈데일빌딩,2187,12470,9212,12381,24501,11909,1016.8223032,299.90051024
2020,08,23411,세곡문화복지회관세곡문화복지회관세곡문화복지회관세곡문화복지회관,69,1168,559,800,1113,327,508.431738,149.875831
2020,08,23412,은곡마을.LH이편한세상은곡마을.LH이편한세상은곡마을.LH이편한세상은곡마을.LH이편한세상은곡마을.LH이편한세상은곡마을.LH이편한세상은곡마을.LH이편한세상,1174,10673,4151,4733,7323,3193,889.7128786,262.25763613
