자치구,행정동_x,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,연령대_2030_거주인구수_합,연령대_2030_거주인구수_평균,연령대_20_거주인구수_비율,연령대_30_거주인구수_비율,연령대_2030_거주인구수_비율,1인가구_비율,식품접객업,주점,주요경제활동인구_거주인구수,주요경제활동인구_거주인구수_평균,주요경제활동인구_생활인구수,주요경제활동인구_생활인구수_평균,PET예측량
성북구,정릉2동,11290630,14962450.3125,1263845.372925,1354089.4271166667,2004274.7392083327,2112676.288491667,2306002.5222750003,2167280.6419,1788940.480758333,1965340.8479666663,2284,2593,2116,1509,359,78,18,5.666666666666667,1329.6666666666667,1667.5,2955.1666666666665,2838.6666666666665,3218.4166666666665,3441.9166666666665,3121.75,1803.25,765.0,104.66666666666669,정릉2동,0.0,24.0,21.0,37.0,1057.0,252.0,5793.833333333333,5793.833333333333,0.13905576033252293,0.1335738373460905,0.2726295976786134,0.2549960924416657,1391.0,24.0,12454.166666666666,3113.5416666666665,8590234.191875,2147558.54796875,63.218678219531256
성북구,정릉3동,11290640,10978805.759908332,546903.820625,1022965.9027333332,2844530.0938833333,1363429.356575,1320528.6195833334,1392789.692,1119720.4510833337,1367937.8237,3255,1852,1103,735,199,32,12,3.583333333333333,525.75,859.0833333333334,2821.75,1692.5,1690.9166666666667,2148.583333333333,2077.583333333333,1324.75,645.9166666666666,97.75,정릉3동,0.0,0.0,24.0,195.0,1223.0,367.0,4514.25,4514.25,0.2031765651813894,0.12186633704952657,0.325042902230916,0.45283806343906513,1809.0,0.0,8353.75,2088.4375,6921277.762041666,1730319.4405104164,70.14141660765625
성북구,정릉4동,11290650,13682105.996183334,1001162.6781833334,1289677.19235,1803308.515025,1786043.2754,2158625.992791666,1882706.7919083333,1744033.7095166668,2016547.8505416668,2659,2837,2245,1647,383,76,18,7.333333333333333,1421.8333333333333,1927.0,2984.9166666666665,2863.1666666666665,3765.3333333333335,3818.75,3333.1666666666665,1958.6666666666667,817.75,124.41666666666669,정릉4동,0.0,12.0,42.0,161.0,1122.0,196.0,5848.083333333333,5848.083333333333,0.12965309047736254,0.12436474727438572,0.25401783775174824,0.2695387734414597,1533.0,12.0,13432.166666666666,3358.0416666666665,7630684.5751249995,1907671.1437812499,64.71099215671875
성북구,길음1동,11290660,25843970.07239167,3725651.5805833335,3840436.586183333,2319169.228191667,3017081.9773,4870697.002008333,3249983.381125,2182421.6543833334,2638528.647266667,1721,2694,3298,3380,627,108,22,7.583333333333333,3460.25,4496.75,3118.25,4040.0,7142.25,4653.25,3051.083333333333,1889.9166666666667,774.0,112.33333333333331,길음1동,12.0,12.0,216.0,199.0,2125.0,1012.0,7158.25,7158.25,0.09522634038091554,0.1233751030670725,0.21860144344798804,0.1452320675105485,3576.0,24.0,18953.75,4738.4375,13456931.588624999,3364232.8971562497,73.82606845734375
성북구,길음2동,11290685,12053664.577141669,883103.6874333333,1185647.1939666667,1401899.354775,1670391.7461416663,2075556.7461416663,1862932.926975,1392446.2497333332,1581686.6702916666,1666,1664,1564,1174,270,51,12,4.833333333333333,1300.9166666666667,1311.1666666666667,1874.8333333333333,2218.083333333333,2642.25,2529.083333333333,1954.25,1003.5833333333334,409.1666666666667,54.583333333333336,길음2동,0.0,0.0,92.0,111.0,985.0,437.0,4092.916666666666,4092.916666666666,0.1225161054930214,0.14494671437051074,0.2674628198635321,0.2602718325261678,1625.0,0.0,9264.25,2316.0625,7010780.774033332,1752695.193508333,48.906377902624996
성북구,종암동,11290705,28510077.889891665,2106130.184225,2882465.9468166665,4609028.8188,3848087.533825,4276118.415708333,4189020.713083334,3007597.4618583336,3591628.826758333,5568,3939,3316,2693,604,116,32,13.333333333333334,2360.9166666666665,3323.6666666666665,5193.333333333333,4669.75,5769.666666666667,5799.916666666667,4500.083333333333,2628.583333333333,1378.0,214.5833333333333,종암동,12.0,36.0,108.0,323.0,3167.0,864.0,9863.083333333332,9863.083333333332,0.1448554467228547,0.13025135860090836,0.275106805323763,0.34226702729284486,4510.0,48.0,21432.666666666668,5358.166666666667,16922255.481416665,4230563.870354166,139.0440580553125
성북구,월곡1동,11290715,17076054.397916667,1817847.0765916668,2038785.3378583333,1947061.2045333327,2275284.734716667,2697618.774225,2410611.592308333,1820579.117258333,2068266.5491083327,2454,2649,2383,1934,454,95,20,4.0,1819.3333333333333,2358.25,2787.4166666666665,3245.5,4132.0,3875.3333333333335,3329.0,1948.0,793.8333333333334,94.66666666666669,월곡1동,0.0,84.0,159.0,256.0,2896.0,938.0,6032.916666666666,6032.916666666666,0.11429772286159481,0.1330813810448047,0.24737910390639947,0.24567023726098708,4333.0,84.0,14040.25,3510.0625,9330576.305783333,2332644.0764458333,68.3027111466875
성북구,월곡2동,11290725,16971228.998533335,1271494.1158416667,1472277.5518916666,2887809.639408333,2505596.657991667,2468045.2091416665,2502795.394725,1918361.8923666663,1944848.5361666668,3767,2175,1523,1139,286,57,15,4.333333333333333,948.3333333333334,1329.5833333333333,3201.083333333333,2486.9166666666665,2553.6666666666665,2756.6666666666665,2503.6666666666665,1464.75,650.0833333333334,88.33333333333333,월곡2동,0.0,12.0,36.0,154.0,2171.0,666.0,5688.0,5688.0,0.17796237184327937,0.1382586901028034,0.3162210619460828,0.42033028341887974,3039.0,12.0,10998.333333333332,2749.583333333333,10364246.901266666,2591061.7253166665,90.00295087975
성북구,장위1동,11290760,14004020.688208334,1021649.4892583332,1435706.8992333335,1772404.8957083337,1887692.88985,2117815.6911416664,2261403.978175,1762778.8337833332,1744567.9902333335,2487,2286,1676,1230,300,58,19,4.083333333333333,1560.25,1736.6666666666667,3080.333333333333,3045.083333333333,3364.833333333333,3853.9166666666665,3107.333333333333,1595.25,683.5,80.58333333333333,장위1동,0.0,36.0,51.0,96.0,2338.0,522.0,6125.416666666666,6125.416666666666,0.1393070075600546,0.1377128385253748,0.2770198460854294,0.30871400198609733,3043.0,36.0,13344.166666666666,3336.0416666666665,8039317.454875,2009829.36371875,63.908465455781254
성북구,장위2동,11290770,8912788.609491667,517013.5258416667,721659.0373333334,1209059.1497833333,1148837.9386166667,1302196.5817166667,1432445.4499833332,1216899.960825,1364676.9655,2030,1720,1150,720,196,44,10,6.333333333333333,530.75,793.0833333333334,1801.1666666666667,1621.0833333333333,1743.3333333333333,2197.75,2049.333333333333,1281.8333333333333,536.25,68.0,장위2동,0.0,81.0,24.0,119.0,1708.0,148.0,3422.25,3422.25,0.14262242076715473,0.12836281813562786,0.2709852389027826,0.34582623509369675,2080.0,81.0,7363.333333333333,1840.8333333333333,5092539.1201,1273134.780025,46.654271700375
성북구,장위3동,11290780,5211359.6956,357348.5711166667,487961.771225,690876.29505,775742.21295,841256.0963583334,779658.1479666666,659662.419475,618854.1833,1839,1745,1582,1259,274,49,11,5.916666666666667,1577.1666666666667,1236.4166666666667,1888.3333333333333,2366.4166666666665,2418.9166666666665,2334.333333333333,1799.0,868.4166666666666,320.4166666666667,34.416666666666664,장위3동,0.0,12.0,27.0,87.0,653.0,75.0,4254.75,4254.75,0.127162634612255,0.15935734047150066,0.2865199750837557,0.2720816688859299,854.0,12.0,9008.0,2252.0,3087532.752325,771883.18808125,36.54267282121875
성북구,석관동,11290810,21027404.446466666,1426191.0943083337,1661954.2865083332,3041392.1868083333,2850945.067525,3189298.4592833333,3201402.4595583337,2651409.86545,3004811.0355166667,5492,4233,3137,1986,454,98,19,4.75,1776.5833333333333,1972.6666666666667,4723.416666666667,4505.583333333333,4636.916666666667,5405.333333333333,5012.333333333333,2960.6666666666665,1197.25,125.5,석관동,0.0,24.0,65.0,186.0,3875.0,760.0,9229.0,9229.0,0.14614079597372195,0.13940111176428122,0.28554190773800314,0.35618392891886635,4910.0,24.0,19271.25,4817.8125,12283038.173175,3070759.54329375,120.61529314940626
강북구,삼양동,11305534,17557773.16745,1243422.7502083334,1677948.7927833332,2020355.7675083333,2236533.088525,2634242.535258333,2727893.545525,2184356.312958333,2833020.3647916666,3023,2891,1998,1447,363,81,22,8.833333333333334,1121.25,1746.0833333333333,2846.333333333333,2658.6666666666665,3224.1666666666665,3964.1666666666665,3491.833333333333,2026.6666666666667,798.4166666666666,110.08333333333331,삼양동,0.0,60.0,51.0,202.0,1670.0,496.0,5505.0,5505.0,0.12939937414285607,0.12086771380295351,0.2502670879458096,0.30768447837150126,2479.0,60.0,12693.333333333332,3173.333333333333,9619024.936816666,2404756.2342041666,77.1085685130625
강북구,미아동,11305535,16360900.894966668,642521.3343583333,1117360.9639583337,2680802.87925,2092316.6152,2268266.0443166667,2790636.7423166665,2218418.1622416666,2550578.164733333,4807,2685,1675,1052,239,48,16,2.4166666666666665,666.25,1186.4166666666667,3453.75,2622.833333333333,2726.1666666666665,3444.333333333333,3123.333333333333,1881.4166666666667,801.3333333333334,87.33333333333333,미아동,168.0,102.0,259.0,229.0,5262.0,1283.0,6076.583333333333,6076.583333333333,0.17272564357962383,0.1311706335149012,0.30389627709452505,0.4568523094468732,7303.0,270.0,12247.083333333332,3061.770833333333,9832022.281083334,2458005.5702708336,102.1251085540625
강북구,송중동,11305545,25413059.23215,1509606.915383333,2086506.7018416664,3495818.184433333,3371348.991958333,3826707.6927,4138145.231991667,3176263.2021333333,3808662.318625,4548,3369,2499,1713,415,83,20,9.0,1356.0,1821.3333333333333,3866.25,3665.8333333333335,4082.9166666666665,4700.666666666667,4269.5,2508.4166666666665,955.0,106.91666666666669,송중동,60.0,156.0,58.0,179.0,5299.0,1117.0,7532.083333333334,7532.083333333334,0.14140419747517538,0.13407415986492005,0.27547835734009546,0.3596109749347671,6869.0,216.0,16315.666666666668,4078.916666666667,14832020.101083335,3708005.0252708336,117.3591753790625
강북구,송천동,11305555,19603596.262725,1241531.1071833333,1705098.7166166666,2146318.659458333,2410186.847866667,3034617.798158333,3278938.4163416666,2561517.748991667,3225386.977075,4508,3338,2202,1465,343,67,11,11.666666666666666,920.5,1438.6666666666667,3238.083333333333,2909.5,3447.25,4528.666666666667,4280.666666666667,2619.6666666666665,1044.1666666666667,119.25,송천동,12.0,48.0,24.0,120.0,4304.0,533.0,6147.583333333333,6147.583333333333,0.1318540738453394,0.11847422946280414,0.25032830330814354,0.3777442600972013,5041.0,60.0,14123.5,3530.875,10870061.721825,2717515.43045625,101.95883145684375
강북구,삼각산동,11305575,17032208.963108335,1960187.53655,2261270.399308333,1460290.6855499998,2007769.8118583327,3223450.3123583333,2348978.90685,1666216.1756666666,2104045.128891667,2021,2663,2948,2741,530,102,30,7.666666666666667,2619.5,3606.0,3049.583333333333,3367.1666666666665,5804.416666666667,4607.916666666667,3122.333333333333,1823.75,764.8333333333334,88.41666666666667,삼각산동,0.0,12.0,24.0,80.0,1513.0,365.0,6416.75,6416.75,0.10566237126052798,0.11666604107536258,0.22232841233589057,0.18314454009968284,1994.0,12.0,16829.083333333336,4207.270833333334,9040489.716616664,2260122.429154166,61.336911437312494
강북구,번1동,11305595,13559555.014441667,529200.4945916667,854455.7508916667,2328421.570766667,1965182.6578916667,2152787.900875,2167187.633125,1627155.768775,1935163.241875,4380,2375,1368,885,198,37,5,2.083333333333333,585.9166666666666,957.0833333333334,2913.6666666666665,2467.1666666666665,2575.4166666666665,2830.4166666666665,2459.583333333333,1586.8333333333333,598.0833333333334,68.5,번1동,60.0,276.0,77.0,130.0,4055.0,828.0,5380.833333333333,5380.833333333333,0.17094217672108228,0.14474642729677273,0.31568860401785503,0.4736159169550173,5426.0,336.0,10786.666666666666,2696.6666666666665,8613579.762658333,2153394.9406645834,91.75942410996876
강북구,번2동,11305603,10213840.274033332,648652.8314083334,844358.65435,1273487.232366667,1210907.2551083334,1474398.8866833334,1592131.2135333333,1381525.4637583334,1788378.7488666668,2250,2237,1408,833,201,51,6,2.083333333333333,582.25,943.1666666666666,2003.75,1594.4166666666667,2113.0,2491.0,2463.583333333333,1802.0,659.8333333333334,70.33333333333333,번2동,0.0,0.0,42.0,117.0,740.0,280.0,3598.166666666667,3598.166666666667,0.1360742480405195,0.10827650604114203,0.24435075408166157,0.322072716862296,1179.0,0.0,8202.166666666668,2050.541666666667,5550924.5876916675,1387731.1469229169,51.35971720384376
강북구,번3동,11305608,11601590.917833334,860285.9049166666,1026913.6850166668,1192429.180025,1260357.951125,1784667.6882333334,1801215.4846750002,1556852.1941,2118868.8129666667,2002,2295,1529,1023,250,32,11,3.9166666666666665,828.8333333333334,1173.0833333333333,1710.9166666666667,1533.8333333333333,2310.1666666666665,2556.4166666666665,2474.5,2260.333333333333,754.4166666666666,77.16666666666667,번3동,0.0,0.0,36.0,95.0,865.0,305.0,3244.75,3244.75,0.10908965319362605,0.0977986535815051,0.20688830677513115,0.2803136376365164,1301.0,0.0,8111.333333333332,2027.833333333333,6038670.304058334,1509667.5760145835,49.822163640218754
